subject_id,family,n_runs,n_pass,n_conditional,n_fail,pass_rate_family,mean_clipped_score_family
claude-haiku-4-5,FOUL,9,5,3,1,0.5556,9.8889
claude-haiku-4-5,MECH,5,5,0,0,1.0,10.8
claude-haiku-4-5,NOWE,4,2,2,0,0.5,9.75
claude-haiku-4-5,OXID,6,6,0,0,1.0,11.3333
claude-haiku-4-5,SCAL,7,7,0,0,1.0,10.7143
claude-opus-4-6,FOUL,9,8,1,0,0.8889,10.6667
claude-opus-4-6,MECH,5,3,2,0,0.6,9.8
claude-opus-4-6,NOWE,4,0,3,1,0.0,8.75
claude-opus-4-6,OXID,6,6,0,0,1.0,11.5
claude-opus-4-6,SCAL,7,7,0,0,1.0,11.2857
claude-opus-4-7,FOUL,9,8,1,0,0.8889,11.1111
claude-opus-4-7,MECH,5,5,0,0,1.0,10.6
claude-opus-4-7,NOWE,4,2,2,0,0.5,10.0
claude-opus-4-7,OXID,6,6,0,0,1.0,11.5
claude-opus-4-7,SCAL,7,7,0,0,1.0,11.4286
deepseek-v4-flash,FOUL,9,7,1,1,0.7778,10.4444
deepseek-v4-flash,MECH,5,5,0,0,1.0,10.6
deepseek-v4-flash,NOWE,4,0,4,0,0.0,8.0
deepseek-v4-flash,OXID,6,4,2,0,0.6667,10.5
deepseek-v4-flash,SCAL,7,6,1,0,0.8571,10.4286
gemini-2-5-flash-lite,FOUL,9,0,4,5,0.0,6.5556
gemini-2-5-flash-lite,MECH,5,0,5,0,0.0,9.0
gemini-2-5-flash-lite,NOWE,4,0,4,0,0.0,6.5
gemini-2-5-flash-lite,OXID,6,0,4,2,0.0,7.5
gemini-2-5-flash-lite,SCAL,7,0,7,0,0.0,7.5714
gemini-2-5-pro,FOUL,9,5,4,0,0.5556,10.2222
gemini-2-5-pro,MECH,5,1,4,0,0.2,9.2
gemini-2-5-pro,NOWE,4,1,2,1,0.25,8.5
gemini-2-5-pro,OXID,6,6,0,0,1.0,10.0
gemini-2-5-pro,SCAL,7,1,6,0,0.1429,8.8571
gemini-3-1-flash-lite,FOUL,9,5,4,0,0.5556,9.0
gemini-3-1-flash-lite,MECH,5,0,5,0,0.0,9.0
gemini-3-1-flash-lite,NOWE,4,0,3,1,0.0,6.25
gemini-3-1-flash-lite,OXID,6,0,6,0,0.0,8.6667
gemini-3-1-flash-lite,SCAL,7,0,7,0,0.0,7.8571
gpt-3-5-turbo,FOUL,9,0,1,8,0.0,5.6667
gpt-3-5-turbo,MECH,5,0,4,1,0.0,7.2
gpt-3-5-turbo,NOWE,4,0,0,4,0.0,2.0
gpt-3-5-turbo,OXID,6,0,4,2,0.0,6.1667
gpt-3-5-turbo,SCAL,7,0,0,7,0.0,5.4286
gpt-5,FOUL,9,8,1,0,0.8889,10.8889
gpt-5,MECH,5,4,1,0,0.8,10.0
gpt-5,NOWE,4,3,1,0,0.75,10.25
gpt-5,OXID,6,6,0,0,1.0,11.5
gpt-5,SCAL,7,6,1,0,0.8571,11.2857
gpt-5-5,FOUL,9,7,2,0,0.7778,11.1111
gpt-5-5,MECH,5,5,0,0,1.0,10.2
gpt-5-5,NOWE,4,3,1,0,0.75,10.0
gpt-5-5,OXID,6,6,0,0,1.0,11.5
gpt-5-5,SCAL,7,7,0,0,1.0,11.4286
mistral-medium-3,FOUL,9,0,8,1,0.0,8.0
mistral-medium-3,MECH,5,0,5,0,0.0,9.0
mistral-medium-3,NOWE,4,0,3,1,0.0,7.0
mistral-medium-3,OXID,6,0,5,1,0.0,8.0
mistral-medium-3,SCAL,7,0,6,1,0.0,7.1429
mistral-small-3,FOUL,9,4,5,0,0.4444,9.8889
mistral-small-3,MECH,5,5,0,0,1.0,10.6
mistral-small-3,NOWE,4,0,3,1,0.0,7.5
mistral-small-3,OXID,6,4,2,0,0.6667,10.0
mistral-small-3,SCAL,7,5,2,0,0.7143,10.0
