subject_id,subject_version,n_runs,n_pass,n_conditional,n_fail,n_critical_fails,n_recoverable_fails,pass_rate,mean_clipped_score,brier,ece,alpha,q_final,leaderboard_status
claude-haiku-4-5,claude-haiku-4-5-20251001,31,25,5,1,1,0,0.8065,10.4839,0.0371,0.1729,0.5,0.8401,Disqualified
claude-opus-4-6,claude-opus-4-6,31,24,6,1,1,2,0.7742,10.5806,0.0348,0.1003,0.5,0.828,Disqualified
claude-opus-4-7,claude-opus-4-7,31,28,3,0,0,1,0.9032,11.0323,0.0362,0.1703,0.5,0.9113,Eligible
deepseek-v4-flash,deepseek-v4-flash,31,22,8,1,1,2,0.7097,10.1613,0.0398,0.1371,0.5,0.7782,Disqualified
gemini-2-5-flash-lite,gemini-2.5-flash-lite,31,0,24,7,3,2,0.0,7.3548,0.05,0.0387,0.5,0.3065,Disqualified
gemini-2-5-pro,gemini-2.5-pro,31,14,16,1,0,0,0.4516,9.4839,0.0091,0.0345,0.5,0.621,Eligible
gemini-3-1-flash-lite,gemini-3.1-flash-lite,31,5,25,1,1,2,0.1613,8.3226,0.0183,0.0668,0.5,0.4274,Disqualified
gpt-3-5-turbo,gpt-3.5-turbo-0125,31,0,9,22,2,1,0.0,5.4839,0.1423,0.2677,0.5,0.2285,Disqualified
gpt-5,gpt-5-2025-08-07,31,27,4,0,0,1,0.871,10.871,0.0335,0.1584,0.5,0.8884,Eligible
gpt-5-5,gpt-5.5-2026-04-23,31,28,3,0,0,1,0.9032,10.9677,0.0237,0.1413,0.5,0.9086,Eligible
mistral-medium-3,mistral-medium-2505,31,0,27,4,0,1,0.0,7.8387,0.0348,0.0758,0.5,0.3266,Eligible
mistral-small-3,mistral-small-2603,31,18,12,1,1,4,0.5806,9.7419,0.0388,0.0368,0.5,0.6962,Disqualified
