subject_id,subject_version,n_runs,mean_input_tokens,mean_output_tokens,output_to_input_ratio,median_latency_s,p95_latency_s,price_per_input_token_usd,price_per_output_token_usd
claude-haiku-4-5,claude-haiku-4-5-20251001,31,2612.0,1724.8,0.660,19.48,22.76,0.0000010000,0.0000050000
claude-opus-4-6,claude-opus-4-6,31,2613.0,2016.5,0.772,44.44,51.01,0.0000050000,0.0000250000
claude-opus-4-7,claude-opus-4-7,31,3488.1,1795.5,0.515,25.67,29.26,0.0000050000,0.0000250000
deepseek-v4-flash,deepseek-v4-flash,31,2255.8,1868.0,0.828,22.12,67.24,0.0000002800,0.0000004200
gemini-2-5-flash-lite,gemini-2.5-flash-lite,31,2349.0,1010.7,0.430,10.87,19.32,0.0000001000,0.0000004000
gemini-2-5-pro,gemini-2.5-pro,31,2349.0,4331.6,1.844,38.42,51.99,0.0000012500,0.0000100000
gemini-3-1-flash-lite,gemini-3.1-flash-lite,32,2334.6,539.3,0.231,6.46,45.04,,
gemini-3-1-pro-preview,gemini-3.1-pro-preview,1,1888.0,4010.0,2.124,1856.51,1856.51,0.0000020000,0.0000120000
gpt-3-5-turbo,gpt-3.5-turbo-0125,31,2268.5,394.3,0.174,6.34,9.52,0.0000005000,0.0000015000
gpt-5,gpt-5-2025-08-07,32,2178.6,5757.5,2.643,80.89,111.57,0.0000012500,0.0000100000
gpt-5-5,gpt-5.5-2026-04-23,31,2239.8,2159.3,0.964,45.95,70.29,0.0000050000,0.0000300000
mistral-medium-3,mistral-medium-2505,31,2317.3,495.6,0.214,12.05,15.74,0.0000004000,0.0000020000
mistral-small-3,mistral-small-2603,31,2329.3,1031.5,0.443,7.94,10.31,,
